Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure
PET,20-Jul,1,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,2,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,3,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,4,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,5,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,6,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,7,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,8,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,9,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,10,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,11,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,12,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,13,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,14,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,15,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,16,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,17,0,0,0,0,0,6,0,0,0,0,0
PET,20-Jul,18,0,0,0,0,0,5,0,0,0,0,0
PET,20-Jul,19,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,20,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,21,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,22,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,23,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,24,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,25,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,26,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,27,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,28,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,29,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,30,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,31,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,32,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,33,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,34,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,35,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,36,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,37,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,38,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,39,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,40,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,41,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,42,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,43,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,44,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,45,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,46,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,47,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,48,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,49,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,50,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,51,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,52,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,53,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,54,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,55,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,56,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,57,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,58,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,59,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,60,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,61,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,62,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,63,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,64,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,65,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,66,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,67,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,68,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,69,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,70,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,71,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,72,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,73,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,74,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,75,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,76,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,77,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,78,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,79,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,80,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,81,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,82,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,83,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,84,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,85,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,86,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,87,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,88,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,89,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,90,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,91,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,92,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,93,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,94,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,95,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,96,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,97,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,98,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,99,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,100,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,101,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,102,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,103,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,104,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,105,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,106,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,107,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,108,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,109,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,110,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,111,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,112,0,0,0,0,0,0,0,0,0,0,0
PET,20-Jul,113,0,0,0,0,0,0,0,0,0,0,0
